,title_maart,title_april,published_at_maart,views_maart,rank_in_region_maart,views_april,rank_in_region_april,country_april,days_since_upload_april,duration_in_minutes_april,category_name_april,rank_change
10,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,5,99252449.0,38,Oeganda,33,1.2,Entertainment,33
11,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,5,99252449.0,50,Zimbabwe,33,1.2,Entertainment,45
12,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,5,99252449.0,38,Malta,33,1.2,Entertainment,33
13,Still surprising mom with magic ✨,Still surprising mom with magic ✨,2025-02-26 13:01:30,20988527,6,51493926.0,42,Oeganda,33,0.2,Comedy,36
14,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,2025-02-25 16:00:54,16640937,8,30400086.0,35,Oeganda,34,0.6,Entertainment,27
15,姐姐好厉害啊！#火影忍者 #家庭 #小蚂蚁,姐姐好厉害啊！#火影忍者 #家庭 #小蚂蚁,2025-02-25 09:00:13,25278831,15,98503326.0,39,Oeganda,34,0.4,People & Blogs,24
16,This was SO close😳😭 #newchallenge #shorts  @isabellaafro @IsabellandJay,This was SO close😳😭 #newchallenge #shorts  @isabellaafro @IsabellandJay,2025-03-01 15:04:19,7154489,25,34972610.0,41,Oeganda,30,0.5,Comedy,16
17,"Abigail Chams, Harmonize - Me too (Official Music Video)","Abigail Chams, Harmonize - Me too (Official Music Video)",2025-02-28 09:01:09,808667,26,4462529.0,18,Oeganda,31,2.7,Music,-8
18,"Abigail Chams, Harmonize - Me too (Official Music Video)","Abigail Chams, Harmonize - Me too (Official Music Video)",2025-02-28 09:01:09,808667,26,4462529.0,18,Zimbabwe,31,2.7,Music,-8
19,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,2025-02-28 15:00:06,2008266,19,11697203.0,47,Libanon,31,2.9,Music,28
20,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,7,99252449.0,38,Oeganda,33,1.2,Entertainment,31
21,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,7,99252449.0,50,Zimbabwe,33,1.2,Entertainment,43
22,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,7,99252449.0,38,Malta,33,1.2,Entertainment,31
23,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,2025-02-25 16:00:54,16640937,13,30400086.0,35,Oeganda,34,0.6,Entertainment,22
24,姐姐好厉害啊！#火影忍者 #家庭 #小蚂蚁,姐姐好厉害啊！#火影忍者 #家庭 #小蚂蚁,2025-02-25 09:00:13,25278831,5,98503326.0,39,Oeganda,34,0.4,People & Blogs,34
25,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,الحسن عادل - ياحلاوة رمضان [2025] | Alhassan Adel - Ya 7alawet Ramadan,2025-02-28 15:00:06,2008266,25,11697203.0,47,Libanon,31,2.9,Music,22
26,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,Content thời tiền sử [BEN EAGLE] #beneagle #kungfu #martialarts #fighting #action #entertainment,2025-02-25 16:00:54,16640937,1,30400086.0,35,Oeganda,34,0.6,Entertainment,34
27,"Abigail Chams, Harmonize - Me too (Official Music Video)","Abigail Chams, Harmonize - Me too (Official Music Video)",2025-02-28 09:01:09,808667,2,4462529.0,18,Oeganda,31,2.7,Music,16
28,"Abigail Chams, Harmonize - Me too (Official Music Video)","Abigail Chams, Harmonize - Me too (Official Music Video)",2025-02-28 09:01:09,808667,2,4462529.0,18,Zimbabwe,31,2.7,Music,16
29,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,32,99252449.0,38,Oeganda,33,1.2,Entertainment,6
30,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,32,99252449.0,50,Zimbabwe,33,1.2,Entertainment,18
31,When he ran into the door! 😲,When he ran into the door! 😲,2025-02-26 16:10:26,36239737,32,99252449.0,38,Malta,33,1.2,Entertainment,6
